vendor_id,vendor_name,primary_department,risk_tier,Total_Invoiced,Invoice_Count,Duplicate_Invoice_Count,Flagged_Count,Avg_Risk_Score
VND-1052,"Reid, Ferguson and Sanchez LLC",Corporate Legal,Medium,14259398.7,653,14,124,5.2756508422664625
VND-1053,Gray-Mayo Solutions,Information Technology,Low,15996243.95,1349,28,212,4.633061527057079
VND-1054,"Watts, Robinson and Nguyen Corp",Finance & Administration,Low,11060311.94,773,24,132,5.0646830530401035
VND-1055,Perez Inc Inc,Corporate Legal,Low,10042101.56,617,12,90,3.946515397082658
VND-1056,Morales-Jones Services,Finance & Administration,Low,10892826.83,787,20,134,5.285895806861499
VND-1057,"Walter, Edwards and Rios Services",Operations & Logistics,Low,8857560.99,834,8,90,3.183453237410072
VND-1058,Wilkerson-Day Inc,Finance & Administration,Low,11941801.93,785,18,122,4.522292993630574
VND-1059,Baker and Sons Corp,Human Resources,High,8980474.35,1126,2,106,3.1838365896980463
VND-1060,"Hoffman, Baker and Richards Services",Finance & Administration,Low,10920516.49,772,12,128,4.760362694300518
VND-1061,"Ross, Robinson and Bright Corp",Finance & Administration,Medium,10416810.01,770,20,123,4.642857142857143
VND-1062,"Snyder, Campos and Callahan Inc",Information Technology,Medium,18097859.01,1332,28,202,4.5307807807807805
VND-1063,Burton Ltd Solutions,Corporate Legal,Low,11704267.53,610,12,105,4.868852459016393
VND-1064,Carlson-Cruz Group,Marketing & Sales,Medium,12639094.74,1247,20,160,4.021651964715317
VND-1065,"Ferrell, Rice and Maddox Inc",Corporate Legal,Low,12088417.99,633,18,114,5.363349131121643
VND-1066,Frazier Inc Services,Human Resources,Low,8596943.97,1205,30,148,4.132780082987552
VND-1067,"Dyer, Potter and Mack Inc",Corporate Legal,Low,10477006.9,691,6,105,4.109985528219971
VND-1068,Rodriguez-Graham Group,Operations & Logistics,Low,10582481.54,860,10,107,3.7790697674418605
VND-1069,Smith-Bowen Solutions,Operations & Logistics,Medium,10748268.77,847,8,122,4.3919716646989375
VND-1070,"Baker, Mason and White Corp",Human Resources,Low,8391552.43,1201,32,146,4.1548709408825975
VND-1071,Harrell LLC Group,Marketing & Sales,Low,10467354.61,1298,26,145,3.463020030816641
VND-1072,"Romero, Gonzalez and Brooks LLC",Information Technology,Low,17256288.81,1401,36,198,4.4147037830121345
VND-1073,Ryan PLC Services,Marketing & Sales,Low,10334177.06,1270,28,166,4.165354330708661
VND-1074,George Group Solutions,Information Technology,Low,16758827.56,1375,30,197,4.290909090909091
VND-1075,Rodriguez LLC Group,Human Resources,Low,8798293.4,1244,24,116,3.235530546623794
VND-1076,Allen-Allen LLC,Operations & Logistics,Low,9063368.0,868,10,118,4.078341013824885
VND-1077,"Arroyo, Miller and Tucker Services",Information Technology,Medium,14728735.13,1250,20,174,4.168
VND-1078,Spence PLC Services,Corporate Legal,Low,10556474.11,617,4,98,4.367909238249595
VND-1079,Anderson Group Solutions,Corporate Legal,Low,11714454.35,674,20,123,5.422848664688427
VND-1080,"Martin, Rose and Obrien Services",Information Technology,Medium,17612492.58,1363,36,192,4.541452677916361
VND-1081,Hickman Ltd Group,Corporate Legal,Low,12468255.7,677,16,123,4.903988183161005
VND-1082,"Harris, Collins and Carney LLC",Operations & Logistics,Medium,9258858.22,851,14,116,4.012925969447709
VND-1083,"Brooks, Lam and Hayes Services",Corporate Legal,Low,8545335.09,649,26,110,4.907550077041602
VND-1084,Walker LLC Inc,Marketing & Sales,Low,13070355.84,1228,24,162,4.226384364820847
VND-1085,Chapman and Sons Group,Marketing & Sales,Medium,13426215.49,1242,26,160,4.327697262479871
VND-1086,"Robinson, Jones and Welch LLC",Operations & Logistics,Low,9739593.56,856,18,120,4.001168224299065
VND-1087,Jones Inc LLC,Human Resources,Low,7960505.89,1174,30,120,3.5519591141396933
VND-1088,Jones-Young Corp,Corporate Legal,Low,12670632.58,588,10,105,4.8979591836734695
VND-1089,"Washington, Ryan and Cummings Group",Marketing & Sales,Medium,11237603.91,1239,26,157,4.184826472962066
VND-1090,"Johnston, Sanchez and Kennedy Services",Information Technology,Low,15457202.17,1322,22,192,4.2208774583963695
VND-1091,Lee-Davis Group,Information Technology,Low,15458858.42,1323,24,164,3.688586545729403
VND-1092,Gomez-Jenkins Services,Marketing & Sales,Low,13843357.86,1268,22,163,4.1995268138801265
VND-1093,"Brown, Valdez and Lucas Inc",Operations & Logistics,Low,10953473.48,903,24,141,4.579180509413067
VND-1094,Powell LLC Solutions,Operations & Logistics,High,11047180.6,892,18,117,3.867713004484305
VND-1095,Wright and Sons Services,Operations & Logistics,Low,8719310.27,806,24,110,4.106699751861042
VND-1096,"West, Henderson and Ramirez Corp",Finance & Administration,Low,13211920.59,826,22,142,5.199757869249395
VND-1097,Baxter Inc Services,Finance & Administration,Low,10297987.9,785,4,114,4.076433121019108
VND-1098,Morton-Chase Solutions,Operations & Logistics,Low,10824084.62,835,12,122,4.3053892215568865
VND-1099,Williams PLC LLC,Marketing & Sales,Low,11609550.26,1212,18,152,4.224422442244224
VND-1100,Novak and Sons Group,Operations & Logistics,Low,12874958.92,891,16,134,4.7699214365881035
VND-1101,Russell Group LLC,Marketing & Sales,Low,12077729.450000001,1276,30,161,4.275078369905956
VND-1102,Hancock Inc LLC,Finance & Administration,Low,10326393.26,788,18,127,4.663705583756345
