transaction_id,transaction_date,department,vendor_name,amount,risk_tier,risk_score,ml_anomaly_score,primary_flag_reason,audit_investigation_narrative
TXN-2025-011323,2025-06-01,Information Technology,"Romero, Gonzalez and Brooks LLC",49200.0,Critical,85,81.7,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Romero, Gonzalez and Brooks LLC' ($49,200.00); Amount $49,200.00 structured immediately below approval threshold; Spend spike (4.0x department norm of $12,342.28); High-value post executed on Sunday; High ML Isolation Forest score (81.7/100)"
TXN-DUP-358093,2025-03-08,Finance & Administration,Hancock Inc LLC,130937.77,Critical,85,79.3,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Hancock Inc LLC' ($130,937.77); Spend spike (9.8x department norm of $13,382.26); High-value post executed on Saturday; High ML Isolation Forest score (79.3/100)"
TXN-2025-007820,2025-01-12,Human Resources,Aetna Corporate Health,84636.9,Critical,85,76.5,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Aetna Corporate Health' ($84,636.90); Spend spike (11.8x department norm of $7,162.96); High-value post executed on Sunday; High ML Isolation Forest score (76.5/100)"
TXN-DUP-715709,2025-01-12,Human Resources,Aetna Corporate Health,84636.9,Critical,85,76.5,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Aetna Corporate Health' ($84,636.90); Spend spike (11.8x department norm of $7,162.96); High-value post executed on Sunday; High ML Isolation Forest score (76.5/100)"
TXN-2024-036009,2024-11-23,Corporate Legal,"Reid, Ferguson and Sanchez LLC",122996.94,Critical,85,74.7,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Reid, Ferguson and Sanchez LLC' ($122,996.94); Spend spike (7.2x department norm of $17,104.93); High-value post executed on Saturday; High ML Isolation Forest score (74.7/100)"
TXN-DUP-827557,2024-11-23,Corporate Legal,"Reid, Ferguson and Sanchez LLC",122996.94,Critical,85,74.7,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Reid, Ferguson and Sanchez LLC' ($122,996.94); Spend spike (7.2x department norm of $17,104.93); High-value post executed on Saturday; High ML Isolation Forest score (74.7/100)"
TXN-2024-096245,2024-06-23,Information Technology,Dell Enterprise Direct,92002.71,Critical,85,68.6,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Dell Enterprise Direct' ($92,002.71); Spend spike (7.5x department norm of $12,342.28); High-value post executed on Sunday; High ML Isolation Forest score (68.6/100)"
TXN-2024-022074,2024-06-30,Information Technology,"Romero, Gonzalez and Brooks LLC",91491.05,Critical,85,68.6,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Romero, Gonzalez and Brooks LLC' ($91,491.05); Spend spike (7.4x department norm of $12,342.28); High-value post executed on Sunday; High ML Isolation Forest score (68.6/100)"
TXN-DUP-668323,2025-03-08,Marketing & Sales,Russell Group LLC,60897.88,Critical,85,68.1,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Russell Group LLC' ($60,897.88); Spend spike (6.4x department norm of $9,573.66); High-value post executed on Saturday; High ML Isolation Forest score (68.1/100)"
TXN-2024-072377,2024-03-31,Operations & Logistics,Penske Truck Leasing,86886.66,Critical,85,68.0,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Penske Truck Leasing' ($86,886.66); Spend spike (7.3x department norm of $11,937.45); High-value post executed on Sunday; High ML Isolation Forest score (68.0/100)"
TXN-2024-085415,2024-09-22,Information Technology,Cisco Systems Inc,79321.22,Critical,85,64.5,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Cisco Systems Inc' ($79,321.22); Spend spike (6.4x department norm of $12,342.28); High-value post executed on Sunday; High ML Isolation Forest score (64.5/100)"
TXN-DUP-858402,2024-09-22,Information Technology,Cisco Systems Inc,79321.22,Critical,85,64.5,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Cisco Systems Inc' ($79,321.22); Spend spike (6.4x department norm of $12,342.28); High-value post executed on Sunday; High ML Isolation Forest score (64.5/100)"
TXN-2024-069313,2024-09-22,Finance & Administration,PwC Advisory LLC,83432.55,Critical,85,64.3,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'PwC Advisory LLC' ($83,432.55); Spend spike (6.2x department norm of $13,382.26); High-value post executed on Sunday; High ML Isolation Forest score (64.3/100)"
TXN-DUP-451384,2024-09-22,Finance & Administration,PwC Advisory LLC,83432.55,Critical,85,64.3,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'PwC Advisory LLC' ($83,432.55); Spend spike (6.2x department norm of $13,382.26); High-value post executed on Sunday; High ML Isolation Forest score (64.3/100)"
TXN-2024-017052,2024-10-06,Information Technology,"Martin, Rose and Obrien Services",72353.34,Critical,85,63.1,Potential Duplicate Invoice Payment,"Duplicate invoice detected for vendor 'Martin, Rose and Obrien Services' ($72,353.34); Spend spike (5.9x department norm of $12,342.28); High-value post executed on Sunday"
TXN-2024-021100,2024-05-11,Human Resources,Rodriguez LLC Group,49980.0,Critical,80,89.4,Approval Limit Structuring / Split Purchase,"Amount $49,980.00 structured immediately below approval threshold; Spend spike (7.0x department norm of $7,162.96); High-value post executed on Saturday; High ML Isolation Forest score (89.4/100)"
TXN-2024-052390,2024-11-09,Human Resources,Rodriguez LLC Group,49900.0,Critical,80,89.4,Approval Limit Structuring / Split Purchase,"Amount $49,900.00 structured immediately below approval threshold; Spend spike (7.0x department norm of $7,162.96); High-value post executed on Saturday; High ML Isolation Forest score (89.4/100)"
TXN-2024-092574,2024-07-13,Human Resources,Jones Inc LLC,49750.0,Critical,80,89.4,Approval Limit Structuring / Split Purchase,"Amount $49,750.00 structured immediately below approval threshold; Spend spike (7.0x department norm of $7,162.96); High-value post executed on Saturday; High ML Isolation Forest score (89.4/100)"
TXN-2024-099716,2024-11-09,Human Resources,Galloway-Wyatt LLC,49750.0,Critical,80,89.4,Approval Limit Structuring / Split Purchase,"Amount $49,750.00 structured immediately below approval threshold; Spend spike (7.0x department norm of $7,162.96); High-value post executed on Saturday; High ML Isolation Forest score (89.4/100)"
TXN-2024-061824,2024-08-24,Human Resources,BetterUp Coaching Inc,49200.0,Critical,80,89.4,Approval Limit Structuring / Split Purchase,"Amount $49,200.00 structured immediately below approval threshold; Spend spike (6.9x department norm of $7,162.96); High-value post executed on Saturday; High ML Isolation Forest score (89.4/100)"
TXN-2025-063959,2025-01-04,Human Resources,Garcia-James Group,49200.0,Critical,80,89.4,Approval Limit Structuring / Split Purchase,"Amount $49,200.00 structured immediately below approval threshold; Spend spike (6.9x department norm of $7,162.96); High-value post executed on Saturday; High ML Isolation Forest score (89.4/100)"
TXN-2025-020808,2025-06-21,Human Resources,Jones Inc LLC,49200.0,Critical,80,89.4,Approval Limit Structuring / Split Purchase,"Amount $49,200.00 structured immediately below approval threshold; Spend spike (6.9x department norm of $7,162.96); High-value post executed on Saturday; High ML Isolation Forest score (89.4/100)"
TXN-2024-037922,2024-01-13,Marketing & Sales,Ogilvy & Mather Creative,48179.28,Critical,80,87.9,Approval Limit Structuring / Split Purchase,"Amount $48,179.28 structured immediately below approval threshold; Spend spike (5.0x department norm of $9,573.66); High-value post executed on Saturday; High ML Isolation Forest score (87.9/100)"
TXN-2024-077520,2024-11-02,Marketing & Sales,Gomez-Jenkins Services,49980.0,Critical,80,87.7,Approval Limit Structuring / Split Purchase,"Amount $49,980.00 structured immediately below approval threshold; Spend spike (5.2x department norm of $9,573.66); High-value post executed on Saturday; High ML Isolation Forest score (87.7/100)"
TXN-2024-084992,2024-11-16,Marketing & Sales,Ryan PLC Services,49980.0,Critical,80,87.7,Approval Limit Structuring / Split Purchase,"Amount $49,980.00 structured immediately below approval threshold; Spend spike (5.2x department norm of $9,573.66); High-value post executed on Saturday; High ML Isolation Forest score (87.7/100)"
TXN-2024-043124,2024-11-23,Marketing & Sales,Carlson-Cruz Group,49980.0,Critical,80,87.7,Approval Limit Structuring / Split Purchase,"Amount $49,980.00 structured immediately below approval threshold; Spend spike (5.2x department norm of $9,573.66); High-value post executed on Saturday; High ML Isolation Forest score (87.7/100)"
TXN-2025-093436,2025-03-22,Marketing & Sales,Chapman and Sons Group,49980.0,Critical,80,87.7,Approval Limit Structuring / Split Purchase,"Amount $49,980.00 structured immediately below approval threshold; Spend spike (5.2x department norm of $9,573.66); High-value post executed on Saturday; High ML Isolation Forest score (87.7/100)"
TXN-2025-016176,2025-03-29,Marketing & Sales,"Washington, Ryan and Cummings Group",49900.0,Critical,80,87.7,Approval Limit Structuring / Split Purchase,"Amount $49,900.00 structured immediately below approval threshold; Spend spike (5.2x department norm of $9,573.66); High-value post executed on Saturday; High ML Isolation Forest score (87.7/100)"
TXN-2025-003801,2025-08-09,Marketing & Sales,Russell Group LLC,49804.4,Critical,80,87.7,Approval Limit Structuring / Split Purchase,"Amount $49,804.40 structured immediately below approval threshold; Spend spike (5.2x department norm of $9,573.66); High-value post executed on Saturday; High ML Isolation Forest score (87.7/100)"
TXN-2024-077301,2024-04-20,Marketing & Sales,Williams PLC LLC,49750.0,Critical,80,87.7,Approval Limit Structuring / Split Purchase,"Amount $49,750.00 structured immediately below approval threshold; Spend spike (5.2x department norm of $9,573.66); High-value post executed on Saturday; High ML Isolation Forest score (87.7/100)"
TXN-2024-092074,2024-11-09,Marketing & Sales,Williams PLC LLC,49750.0,Critical,80,87.7,Approval Limit Structuring / Split Purchase,"Amount $49,750.00 structured immediately below approval threshold; Spend spike (5.2x department norm of $9,573.66); High-value post executed on Saturday; High ML Isolation Forest score (87.7/100)"
